"ID" "nazov.skoly" "adresa" "obec" "okres" "zriadovateľ" "skupina.odborov.cislo" "skupina.odborov" "odbor" "odbor.nazov" "Forma" "Druh" "stupen.vzdelania" "Dĺžka" "Jazyk" "1." "2." "3." "4." "5." "6." "7." "8." "žiaci.spolu" "novoprijatí.1..ročník.2017" "absolventi.2017" "odborný.výcvik.a.prax" "predpokladani.absolventi.máj.2018" "lat" "lng"
"44" "17" "Gymnázium Ľudovíta Štúra" "Hronská 1467/3" "Zvolen" "ZV" "BBSK" 79 "Gymnáziá" "7902J00" "gymnázium" "D" "3G" "J" 8 "S " 29 28 0 0 0 0 0 0 57 29 0 0 0 19.1120527 48.5750954
"45" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8226M00" "hudobno-dramatické umenie                                   " "D" "3V" "M" 4 "S " 5 6 9 0 0 0 0 0 20 5 9 0 0 19.153651 48.7408609
"46" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8226M01" "hudobno-dramatické umenie - muzikál         /exp./          " "D" "3V" "M" 4 "S " 7 0 0 0 0 0 0 0 7 7 0 0 0 19.153651 48.7408609
"47" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8227M00" "tanec                                                       " "D" "3V" "M" 4 "S " 7 7 7 7 0 0 0 0 28 7 0 0 7 19.153651 48.7408609
"48" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8228M00" "spev                                                        " "D" "3V" "M" 4 "S " 8 5 6 3 0 0 0 0 22 7 5 0 3 19.153651 48.7408609
"49" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229M01" "hudba-skladba                                               " "D" "3V" "M" 4 "S " 0 1 2 0 0 0 0 0 3 0 3 0 0 19.153651 48.7408609
"50" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229M02" "hudba-dirigovanie                                           " "D" "3V" "M" 4 "S " 0 0 0 1 0 0 0 0 1 0 0 0 1 19.153651 48.7408609
"51" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229M03" "hudba-hra na klavíri                                        " "D" "3V" "M" 4 "S " 3 2 6 8 0 0 0 0 19 3 4 0 8 19.153651 48.7408609
"52" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229M04" "hudba-hra na organe                                         " "D" "3V" "M" 4 "S " 0 1 1 1 0 0 0 0 3 0 1 0 1 19.153651 48.7408609
"53" "18" "Konzervatórium Jána Levoslava Bellu" "Skuteckého 27" "Banská Bystrica" "BB" "BBSK" 82 "Umenie a umeleckoremeselná tvorba I" "8229M05" "hudba-hra na flau,hob,klar,fag,trub,...,bic.nástr.          " "D" "3V" "M" 4 "S " 5 6 4 5 0 0 0 0 20 5 2 0 5 19.153651 48.7408609
